peptide_id,bucket,category,reason
1162,b3_excluded_residue_no_smiles,residue_based,position 7 ('SER(GalNAc)'): unknown residue code 'SER(GalNAc)': no match in p2smi database (checked Code='SER(GALNAC)'); position 11 ('Thr(GalNAc)'): unknown residue code 'Thr(GalNAc)': no match in p2smi database (checked Code='THR(GALNAC)')
1205,b3_excluded_residue_no_smiles,residue_based,position 11 ('Thr(GalNAc)'): unknown residue code 'Thr(GalNAc)': no match in p2smi database (checked Code='THR(GALNAC)')
1366,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'C11' (only free amine or ACT acetylation supported)
1475,b3_excluded_residue_no_smiles,residue_based,position 2 ('DHB'): unknown residue code 'DHB': no match in p2smi database (checked Code='DHB'); position 4 ('DHA'): unknown residue code 'DHA': no match in p2smi database (checked Code='DHA'); position 8 ('DHB'): unknown residue code 'DHB': no match in p2smi database (checked Code='DHB')
1474,b4_excluded_nonstandard_bond,bond_based,4 intrachain bonds present -- multi-bond (e.g. multiply-bridged / bicyclic) peptides are out of scope for automated generation in this pass
1719,b3_excluded_residue_no_smiles,residue_based,position 2 ('P-Ser'): unknown residue code 'P-Ser': no match in p2smi database (checked Code='P-SER')
1950,b3_excluded_residue_no_smiles,residue_based,position 1 ('PYA'): unknown residue code 'PYA': no match in p2smi database (checked Code='PYA'); position 8 ('P-Ser'): unknown residue code 'P-Ser': no match in p2smi database (checked Code='P-SER')
2052,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2054,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2061,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2058,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2059,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2062,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2057,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'DNS' (only free amine or ACT acetylation supported)
2438,b3_excluded_residue_no_smiles,residue_based,position 1 ('D-PYA'): unknown residue code 'D-PYA': no match in p2smi database (checked Code='PYA')
2437,b3_excluded_residue_no_smiles,residue_based,position 1 ('D-PYA'): unknown residue code 'D-PYA': no match in p2smi database (checked Code='PYA')
2492,b3_excluded_residue_no_smiles,residue_based,position 22 ('5-Me-GLU'): unknown residue code '5-Me-GLU': no match in p2smi database (checked Code='5-ME-GLU')
2491,b3_excluded_residue_no_smiles,residue_based,position 22 ('Et-GLU'): unknown residue code 'Et-GLU': no match in p2smi database (checked Code='ET-GLU')
2794,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
2790,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
2750,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2749,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2764,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2748,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2759,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2763,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2761,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2753,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2762,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2754,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2831,b3_excluded_residue_no_smiles,residue_based,position 7 ('NLys'): unknown residue code 'NLys': no match in p2smi database (checked Code='NLYS'); position 11 ('NLys'): unknown residue code 'NLys': no match in p2smi database (checked Code='NLYS')
2830,b3_excluded_residue_no_smiles,residue_based,position 11 ('NLys'): unknown residue code 'NLys': no match in p2smi database (checked Code='NLYS'); position 13 ('NLys'): unknown residue code 'NLys': no match in p2smi database (checked Code='NLYS')
2747,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2760,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2755,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2756,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2752,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2751,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2757,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2898,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'OMe' (only free acid or AMD amidation supported)
2766,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2767,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2896,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'OMe' (only free acid or AMD amidation supported)
2897,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'OMe' (only free acid or AMD amidation supported)
2765,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
2963,b3_excluded_residue_no_smiles,residue_based,position 17 ('Me-ARG'): unknown residue code 'Me-ARG': no match in p2smi database (checked Code='ME-ARG')
2949,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'PEG 3000' (only free amine or ACT acetylation supported)
2957,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification '4Me-GUAN' (only free amine or ACT acetylation supported)
2958,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification '4Me-GUAN' (only free amine or ACT acetylation supported)
2964,b3_excluded_residue_no_smiles,residue_based,position 17 ('Arg(NO2)'): unknown residue code 'Arg(NO2)': no match in p2smi database (checked Code='ARG(NO2)')
3179,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
3185,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
3183,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
3181,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'FMOC' (only free amine or ACT acetylation supported)
3227,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'dc Delta DOPA' (only free acid or AMD amidation supported)
3239,b3_excluded_residue_no_smiles,residue_based,position 3 ('LYS-ACT'): unknown residue code 'LYS-ACT': no match in p2smi database (checked Code='LYS-ACT')
3245,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'Ch' (only free amine or ACT acetylation supported)
3344,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'NME' (only free acid or AMD amidation supported)
3421,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'OMe' (only free acid or AMD amidation supported)
3459,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'Fluo' (only free amine or ACT acetylation supported)
3510,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3507,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3504,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3506,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3513,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3519,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3503,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3509,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3496,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3526,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3515,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3516,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3518,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3501,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3500,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3525,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3530,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3493,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3512,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3548,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3528,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3499,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3531,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3534,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3529,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3545,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3547,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3527,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3544,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3532,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3551,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3533,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3546,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3550,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3549,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3552,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3573,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3579,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3572,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3574,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3591,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3576,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3575,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3590,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3593,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3580,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3578,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3594,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3602,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3597,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3577,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3611,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3601,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3607,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3608,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3614,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3596,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3613,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3604,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3625,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3605,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3622,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3624,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3628,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3621,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3630,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3637,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3640,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3634,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3610,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3631,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3643,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3627,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3636,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3639,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3633,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3642,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3667,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3665,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3666,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3830,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'EN' (only free acid or AMD amidation supported)
3831,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'EN' (only free acid or AMD amidation supported)
3832,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'EN' (only free acid or AMD amidation supported)
3810,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3829,b2_excluded_unsupported_terminus,terminus_based,unsupported C-terminal modification 'EN' (only free acid or AMD amidation supported)
3815,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3811,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3866,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'C8' (only free amine or ACT acetylation supported)
3814,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3812,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3842,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3865,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'C8' (only free amine or ACT acetylation supported)
3813,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3840,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3845,b1_excluded_non_monomer,out_of_scope,"non-monomer complexity (dimer/multi-peptide) -- not a single-chain SMILES peptide, out of scope for this dataset"
3864,b2_excluded_unsupported_terminus,terminus_based,unsupported N-terminal modification 'C8' (only free amine or ACT acetylation supported)
