peptide_id,organism,mic_value_uM,mic_type,active_threshold_uM,inactive_threshold_uM,threshold_match_level,label,label_reason
12,Escherichia coli,6.76,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
12,Listeria monocytogenes,77.8,averaged,,,none,unlabeled,no_threshold_available
13,Bacillus subtilis,4.0,exact,,,none,unlabeled,no_threshold_available
13,Escherichia coli,16.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
14,Escherichia coli,27.3,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
14,Staphylococcus aureus,25.0,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
14,Acinetobacter baumannii,6.0,averaged,,,none,unlabeled,no_threshold_available
14,Streptococcus mutans,100.0,censored,,,none,unlabeled,no_threshold_available
14,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
15,Staphylococcus aureus,132.0,censored,32.0,128.0,species,inactive,value_at_or_above_inactive_threshold
15,Escherichia coli,132.0,averaged,32.0,128.0,species,inactive,value_at_or_above_inactive_threshold
15,Acinetobacter baumannii,132.0,censored,,,none,unlabeled,no_threshold_available
15,Mycobacterium tuberculosis,42.2,censored,,,none,unlabeled,no_threshold_available
15,Mycobacterium avium,42.2,censored,,,none,unlabeled,no_threshold_available
16,Escherichia coli,13.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
16,Klebsiella pneumoniae,26.1,censored,,,none,unlabeled,no_threshold_available
16,Serratia marcescens,52.2,censored,,,none,unlabeled,no_threshold_available
16,Stenotrophomonas maltophilia,53.8,censored,,,none,unlabeled,no_threshold_available
16,Acinetobacter baumannii,53.8,censored,,,none,unlabeled,no_threshold_available
16,Pseudomonas aeruginosa,53.8,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
16,Staphylococcus aureus,26.1,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
16,Streptococcus pneumoniae,26.1,censored,,,none,unlabeled,no_threshold_available
16,Enterococcus faecium,53.8,censored,,,none,unlabeled,no_threshold_available
16,Enterococcus faecalis,26.1,censored,,,none,unlabeled,no_threshold_available
36,Escherichia coli,11.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
36,Klebsiella pneumoniae,22.3,censored,,,none,unlabeled,no_threshold_available
36,Serratia marcescens,23.0,censored,,,none,unlabeled,no_threshold_available
36,Stenotrophomonas maltophilia,24.4,censored,,,none,unlabeled,no_threshold_available
36,Acinetobacter baumannii,24.4,censored,,,none,unlabeled,no_threshold_available
36,Pseudomonas aeruginosa,46.1,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
36,Staphylococcus aureus,22.3,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
36,Streptococcus pneumoniae,22.3,censored,,,none,unlabeled,no_threshold_available
36,Enterococcus faecium,24.4,censored,,,none,unlabeled,no_threshold_available
36,Enterococcus faecalis,22.3,censored,,,none,unlabeled,no_threshold_available
37,Escherichia coli,12.0,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
37,Staphylococcus aureus,15.6,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
37,Pseudomonas aeruginosa,83.0,averaged,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
37,Staphylococcus epidermidis,7.0,exact,,,none,unlabeled,no_threshold_available
37,Acinetobacter hebeiensis,4.06,exact,,,none,unlabeled,no_threshold_available
37,Bacillus subtilis,4.06,averaged,,,none,unlabeled,no_threshold_available
37,Micrococcus luteus,2.03,averaged,,,none,unlabeled,no_threshold_available
37,Kocuria rhizophila,25.7,averaged,,,none,unlabeled,no_threshold_available
37,Acinetobacter calcoaceticus,6.1,censored,,,none,unlabeled,no_threshold_available
37,Franconibacter helveticus,6.1,censored,,,none,unlabeled,no_threshold_available
37,Aeromonas bestiarum,130.0,censored,,,none,unlabeled,no_threshold_available
37,Proteus myxofaciens,130.0,censored,,,none,unlabeled,no_threshold_available
37,Pseudomonas fluorescens,130.0,censored,,,none,unlabeled,no_threshold_available
37,Acinetobacter baumannii,1.52,averaged,,,none,unlabeled,no_threshold_available
37,Klebsiella pneumoniae,24.4,averaged,,,none,unlabeled,no_threshold_available
38,Staphylococcus aureus,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
38,Bacillus subtilis,3.12,exact,,,none,unlabeled,no_threshold_available
38,Pseudomonas aeruginosa,6.25,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
38,Acinetobacter baumannii,6.25,exact,,,none,unlabeled,no_threshold_available
38,Escherichia coli,6.25,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
51,Escherichia coli,100.0,averaged,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
51,Pseudomonas aeruginosa,100.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
51,Staphylococcus aureus,3.12,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
51,Acinetobacter baumannii,50.0,exact,,,none,unlabeled,no_threshold_available
51,Enterococcus faecalis,12.7,censored,,,none,unlabeled,no_threshold_available
51,Streptococcus mutans,12.7,censored,,,none,unlabeled,no_threshold_available
51,Fusobacterium nucleatum,25.4,censored,,,none,unlabeled,no_threshold_available
51,Porphyromonas gingivalis,12.7,censored,,,none,unlabeled,no_threshold_available
51,Actinomyces naeslundii,33.9,censored,,,none,unlabeled,no_threshold_available
52,Escherichia coli,2.92,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
52,Bacillus subtilis,5.83,censored,,,none,unlabeled,no_threshold_available
55,Escherichia coli,6.22,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
55,Bacillus subtilis,6.22,censored,,,none,unlabeled,no_threshold_available
57,Staphylococcus aureus,2.36,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
57,Micrococcus luteus,1.18,averaged,,,none,unlabeled,no_threshold_available
57,Escherichia coli,22.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
57,Pseudomonas aeruginosa,22.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
57,Bacillus subtilis,0.331,averaged,,,none,unlabeled,no_threshold_available
57,Staphylococcus epidermidis,1.76,exact,,,none,unlabeled,no_threshold_available
57,Corynebacterium diphtheriae,1.54,averaged,,,none,unlabeled,no_threshold_available
57,Shigella flexneri,6.61,censored,,,none,unlabeled,no_threshold_available
57,Proteus vulgaris,6.61,censored,,,none,unlabeled,no_threshold_available
57,Streptococcus pyogenes,0.286,averaged,,,none,unlabeled,no_threshold_available
72,Staphylococcus aureus,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
72,Bacillus subtilis,100.0,censored,,,none,unlabeled,no_threshold_available
72,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
72,Acinetobacter baumannii,100.0,censored,,,none,unlabeled,no_threshold_available
72,Escherichia coli,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
73,Staphylococcus aureus,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
73,Bacillus subtilis,3.12,exact,,,none,unlabeled,no_threshold_available
73,Pseudomonas aeruginosa,6.25,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
73,Acinetobacter baumannii,25.0,exact,,,none,unlabeled,no_threshold_available
73,Escherichia coli,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
74,Staphylococcus aureus,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
74,Bacillus subtilis,100.0,censored,,,none,unlabeled,no_threshold_available
74,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
74,Acinetobacter baumannii,100.0,censored,,,none,unlabeled,no_threshold_available
74,Escherichia coli,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
75,Staphylococcus aureus,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
75,Bacillus subtilis,60.0,exact,,,none,unlabeled,no_threshold_available
75,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
75,Acinetobacter baumannii,100.0,censored,,,none,unlabeled,no_threshold_available
75,Escherichia coli,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
77,Staphylococcus aureus,30.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
77,Bacillus subtilis,1.25,exact,,,none,unlabeled,no_threshold_available
77,Pseudomonas aeruginosa,7.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
77,Acinetobacter baumannii,15.0,exact,,,none,unlabeled,no_threshold_available
77,Escherichia coli,15.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
78,Staphylococcus aureus,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
78,Pseudomonas aeruginosa,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
78,Escherichia coli,100.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
78,Acinetobacter baumannii,100.0,censored,,,none,unlabeled,no_threshold_available
79,Bacillus cereus,3.0,exact,,,none,unlabeled,no_threshold_available
79,Staphylococcus aureus,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
79,Escherichia coli,3.5,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
79,Pseudomonas aeruginosa,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
80,Bacillus cereus,4.5,censored,,,none,unlabeled,no_threshold_available
80,Staphylococcus aureus,18.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
80,Escherichia coli,4.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
80,Pseudomonas aeruginosa,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
82,Bacillus cereus,3.0,exact,,,none,unlabeled,no_threshold_available
82,Staphylococcus aureus,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
82,Escherichia coli,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
82,Pseudomonas aeruginosa,4.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
83,Bacillus cereus,3.0,exact,,,none,unlabeled,no_threshold_available
83,Staphylococcus aureus,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
83,Escherichia coli,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
83,Pseudomonas aeruginosa,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
84,Bacillus cereus,18.0,censored,,,none,unlabeled,no_threshold_available
84,Staphylococcus aureus,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
84,Escherichia coli,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
84,Pseudomonas aeruginosa,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
85,Bacillus cereus,50.0,censored,,,none,unlabeled,no_threshold_available
85,Staphylococcus aureus,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
85,Escherichia coli,37.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
85,Pseudomonas aeruginosa,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
87,Bacillus cereus,3.0,exact,,,none,unlabeled,no_threshold_available
87,Staphylococcus aureus,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
87,Escherichia coli,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
87,Pseudomonas aeruginosa,4.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
87,Streptococcus mutans,8.0,exact,,,none,unlabeled,no_threshold_available
87,Actinomyces viscosus,16.0,exact,,,none,unlabeled,no_threshold_available
87,Aggregatibacter actinomycetemcomitans,16.0,exact,,,none,unlabeled,no_threshold_available
87,Streptococcus salivarius,32.0,censored,,,none,unlabeled,no_threshold_available
88,Bacillus cereus,3.0,exact,,,none,unlabeled,no_threshold_available
88,Staphylococcus aureus,2.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
88,Escherichia coli,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
88,Pseudomonas aeruginosa,2.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
88,Streptococcus mutans,8.0,exact,,,none,unlabeled,no_threshold_available
88,Actinomyces viscosus,16.0,exact,,,none,unlabeled,no_threshold_available
88,Aggregatibacter actinomycetemcomitans,32.0,exact,,,none,unlabeled,no_threshold_available
88,Streptococcus salivarius,32.0,censored,,,none,unlabeled,no_threshold_available
89,Bacillus cereus,18.0,censored,,,none,unlabeled,no_threshold_available
89,Staphylococcus aureus,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
89,Escherichia coli,18.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
89,Pseudomonas aeruginosa,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
90,Bacillus cereus,50.0,censored,,,none,unlabeled,no_threshold_available
90,Staphylococcus aureus,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
90,Escherichia coli,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
90,Pseudomonas aeruginosa,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
92,Bacillus cereus,9.0,censored,,,none,unlabeled,no_threshold_available
92,Staphylococcus aureus,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
92,Escherichia coli,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
92,Pseudomonas aeruginosa,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
93,Bacillus cereus,50.0,exact,,,none,unlabeled,no_threshold_available
93,Staphylococcus aureus,37.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
93,Escherichia coli,12.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
93,Pseudomonas aeruginosa,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
94,Bacillus cereus,9.0,censored,,,none,unlabeled,no_threshold_available
94,Staphylococcus aureus,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
94,Escherichia coli,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
94,Pseudomonas aeruginosa,9.0,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
95,Bacillus cereus,50.0,censored,,,none,unlabeled,no_threshold_available
95,Staphylococcus aureus,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
95,Escherichia coli,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
95,Pseudomonas aeruginosa,50.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
97,Bacillus cereus,50.0,exact,,,none,unlabeled,no_threshold_available
97,Staphylococcus aureus,50.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
97,Escherichia coli,50.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
97,Pseudomonas aeruginosa,50.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
98,Bacillus cereus,50.0,exact,,,none,unlabeled,no_threshold_available
98,Staphylococcus aureus,50.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
98,Escherichia coli,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
98,Pseudomonas aeruginosa,25.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
99,Bacillus cereus,4.5,censored,,,none,unlabeled,no_threshold_available
99,Staphylococcus aureus,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
99,Escherichia coli,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
99,Pseudomonas aeruginosa,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
102,Staphylococcus aureus,0.98,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
102,Pseudomonas aeruginosa,0.207,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
102,Escherichia coli,0.696,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
102,Acinetobacter baumannii,1.09,exact,,,none,unlabeled,no_threshold_available
103,Escherichia coli,3.9,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
103,Pseudomonas aeruginosa,15.6,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
103,Staphylococcus aureus,1.95,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
104,Escherichia coli,3.0,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
104,Salmonella enterica,2.0,exact,,,none,unlabeled,no_threshold_available
104,Pseudomonas aeruginosa,0.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
104,Bacillus megaterium,4.0,exact,,,none,unlabeled,no_threshold_available
104,Staphylococcus aureus,4.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
105,Staphylococcus aureus,12.1,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
106,Staphylococcus aureus,12.1,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
107,Staphylococcus aureus,3.44,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
107,Pseudomonas aeruginosa,2.53,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
107,Escherichia coli,3.01,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
108,Staphylococcus aureus,7.32,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
108,Pseudomonas aeruginosa,5.96,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
108,Escherichia coli,14.2,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
109,Escherichia coli,8.25,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
109,Pseudomonas aeruginosa,45.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
109,Staphylococcus aureus,45.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
110,Escherichia coli,91.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
110,Pseudomonas aeruginosa,91.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
110,Staphylococcus aureus,91.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
111,Escherichia coli,5.6,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
111,Pseudomonas aeruginosa,11.2,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
111,Staphylococcus aureus,1.4,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
112,Escherichia coli,4.35,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
112,Pseudomonas aeruginosa,5.8,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
112,Staphylococcus aureus,3.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
113,Escherichia coli,6.2,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
113,Pseudomonas aeruginosa,12.4,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
113,Staphylococcus aureus,1.6,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
115,Escherichia coli,6.1,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
115,Pseudomonas aeruginosa,12.2,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
115,Staphylococcus aureus,1.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
116,Escherichia coli,5.3,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
116,Pseudomonas aeruginosa,21.2,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
116,Staphylococcus aureus,5.3,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
117,Escherichia coli,6.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
117,Pseudomonas aeruginosa,24.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
117,Staphylococcus aureus,1.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
118,Escherichia coli,40.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
118,Pseudomonas aeruginosa,80.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
118,Staphylococcus aureus,80.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
119,Escherichia coli,75.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
119,Pseudomonas aeruginosa,75.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
119,Staphylococcus aureus,75.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
120,Escherichia coli,28.5,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
120,Pseudomonas aeruginosa,76.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
120,Staphylococcus aureus,38.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
121,Escherichia coli,2.4,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
121,Pseudomonas aeruginosa,23.5,censored,32.0,128.0,species,active,value_at_or_below_active_threshold
121,Staphylococcus aureus,9.6,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
122,Escherichia coli,37.5,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
122,Pseudomonas aeruginosa,75.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
122,Staphylococcus aureus,75.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
123,Escherichia coli,2.3,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
123,Pseudomonas aeruginosa,18.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
123,Staphylococcus aureus,18.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
124,Escherichia coli,75.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
124,Pseudomonas aeruginosa,75.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
124,Staphylococcus aureus,75.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
125,Escherichia coli,13.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
125,Pseudomonas aeruginosa,13.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
125,Staphylococcus aureus,13.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
126,Escherichia coli,19.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
126,Pseudomonas aeruginosa,19.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
126,Staphylococcus aureus,76.0,exact,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
127,Escherichia coli,64.0,averaged,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
127,Salmonella enterica,64.0,censored,,,none,unlabeled,no_threshold_available
127,Pseudomonas aeruginosa,64.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
127,Bacillus megaterium,64.0,censored,,,none,unlabeled,no_threshold_available
127,Staphylococcus aureus,64.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
128,Escherichia coli,64.0,averaged,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
128,Salmonella enterica,64.0,censored,,,none,unlabeled,no_threshold_available
128,Pseudomonas aeruginosa,64.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
128,Bacillus megaterium,64.0,exact,,,none,unlabeled,no_threshold_available
128,Staphylococcus aureus,64.0,censored,32.0,128.0,species,uncertain,value_in_gray_zone_or_straddles_threshold
129,Escherichia coli,1.25,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
129,Salmonella enterica,0.5,exact,,,none,unlabeled,no_threshold_available
129,Pseudomonas aeruginosa,2.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
129,Bacillus megaterium,2.0,exact,,,none,unlabeled,no_threshold_available
129,Staphylococcus aureus,2.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
130,Escherichia coli,4.0,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
130,Salmonella enterica,16.0,exact,,,none,unlabeled,no_threshold_available
130,Pseudomonas aeruginosa,1.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
130,Bacillus megaterium,8.0,exact,,,none,unlabeled,no_threshold_available
130,Staphylococcus aureus,8.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
131,Escherichia coli,3.0,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
131,Salmonella enterica,2.0,exact,,,none,unlabeled,no_threshold_available
131,Pseudomonas aeruginosa,0.5,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
131,Bacillus megaterium,4.0,exact,,,none,unlabeled,no_threshold_available
131,Staphylococcus aureus,4.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
132,Staphylococcus aureus,11.7,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
133,Staphylococcus aureus,4.5,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
134,Staphylococcus aureus,1.9,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
135,Staphylococcus aureus,1.76,averaged,32.0,128.0,species,active,value_at_or_below_active_threshold
136,Escherichia coli,9.0,exact,32.0,128.0,species,active,value_at_or_below_active_threshold
136,Acinetobacter calcoaceticus,20.0,exact,,,none,unlabeled,no_threshold_available
